BSE_CODE,BSE_NAME,BSE_SYMBOL,BSE_SECURITY_NAME,Status,Group,BSE_FACE_VALUE,ISIN,Instrument,NSE_SYMBOL,NSE_NAME,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,NSE_FACE_VALUE,CompanyName,Ticker,Exchange
133758,APL Apollo Tubes Limited,APLAPOLLO#,APL Apollo Tubes Limited,Active,A ,2,INE702C01027,Equity,APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-11,2,1,2,APL Apollo Tubes Limited,APLAPOLLO.NS,BOTH
506184,Kanani Industries Ltd,KANANIIND,Kanani Industries Ltd,Active,B ,1,INE879E01037,Equity,KANANIIND,Kanani Industries Limited,EQ,14-Dec-11,1,1,1,Kanani Industries Limited,KANANIIND.NS,BOTH
530961,Vikas EcoTech Limited,VIKASECO,Vikas EcoTech Ltd,Active,B ,1,INE806A01020,Equity,VIKASECO,Vikas EcoTech Limited,EQ,12-Dec-11,1,1,1,Vikas EcoTech Limited,VIKASECO.NS,BOTH
131768,Poly Medicure Ltd,POLYMED#,Poly Medicure Ltd,Active,A ,5,INE205C01021,Equity,POLYMED,Poly Medicure Limited,EQ,7-Dec-11,5,1,5,Poly Medicure Limited,POLYMED.NS,BOTH
533552,RUPA & COMPANY LIMITED,RUPA,Rupa & Company Ltd,Active,B ,1,INE895B01021,Equity,RUPA,Rupa & Company Limited,EQ,7-Dec-11,1,1,1,Rupa & Company Limited,RUPA.NS,BOTH
532365,Dynacons Systems & Solutions Ltd.,DSSL,Dynacons Systems & Solutions Ltd,Active,B ,10,INE417B01040,Equity,DSSL,Dynacons Systems & Solutions Limited,EQ,1-Dec-11,10,1,10,Dynacons Systems & Solutions Limited,DSSL.NS,BOTH
570004,Jain Irrigation Systems Ltd.,JISLDVREQS,Jain Irrigation Systems Ltd_DVR,Active,B ,2,IN9175A01010,Equity,JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-Nov-11,2,1,2,Jain Irrigation Systems Limited,JISLDVREQS.NS,BOTH
533704,Essar Shipping Ltd,ESSARSHPNG,Essar Shipping Ltd,Active,T ,10,INE122M01019,Equity,ESSARSHPNG,Essar Shipping Limited,BE,15-Nov-11,10,1,10,Essar Shipping Limited,ESSARSHPNG.NS,BOTH
533676,Indo Thai Securities Limited,INDOTHAI,Indo Thai Securities Ltd,Active,T ,1,INE337M01021,Equity,INDOTHAI,Indo Thai Securities Limited,BE,2-Nov-11,1,1,1,Indo Thai Securities Limited,INDOTHAI.NS,BOTH
133655,Triveni Turbine Limited,TRITURBINE#,Triveni Turbine Limited,Active,A ,1,INE152M01016,Equity,TRITURBINE,Triveni Turbine Limited,EQ,28-Oct-11,1,1,1,Triveni Turbine Limited,TRITURBINE.NS,BOTH
533638,FLEXITUFF VENTURES INTERNATIONAL LIMITED,FLEXITUFF,Flexituff Ventures International Ltd,Active,B ,10,INE060J01017,Equity,FLEXITUFF,Flexituff Ventures International Limited,EQ,19-Oct-11,10,1,10,Flexituff Ventures International Limited,FLEXITUFF.NS,BOTH
533632,Onelife Capital Advisors Ltd,ONELIFECAP,Onelife Capital Advisors Ltd,Active,T ,10,INE912L01015,Equity,ONELIFECAP,Onelife Capital Advisors Limited,BE,17-Oct-11,10,1,10,Onelife Capital Advisors Limited,ONELIFECAP.NS,BOTH
532900,PAISALO DIGITAL LIMITED,PAISALO,Paisalo Digital Ltd,Active,A ,1,INE420C01059,Equity,PAISALO,Paisalo Digital Limited,EQ,17-Oct-11,1,1,1,Paisalo Digital Limited,PAISALO.NS,BOTH
533629,TIJARIA POLYPIPES LIMITED,TIJARIA,Tijaria Polypipes Ltd,Active,B ,10,INE440L01017,Equity,TIJARIA,Tijaria Polypipes Limited,EQ,14-Oct-11,10,1,10,Tijaria Polypipes Limited,TIJARIA.NS,BOTH
533605,SETUBANDHAN INFRASTRUCTURE LIMITED,SETUINFRA,Setubandhan Infrastructure Ltd,Active,Z ,1,INE023M01027,Equity,SETUINFRA,Setubandhan Infrastructure Limited,BZ,4-Oct-11,1,1,1,Setubandhan Infrastructure Limited,SETUINFRA.NS,BOTH
524820,Panama Petrochem Ltd.,PANAMAPET,Panama Petrochem Ltd,Active,B ,2,INE305C01029,Equity,PANAMAPET,Panama Petrochem Limited,EQ,30-Sep-11,2,1,2,Panama Petrochem Limited,PANAMAPET.NS,BOTH
133581,PG Electroplast Limited,PGEL#,PG Electroplast Limited,Active,A ,1,INE457L01029,Equity,PGEL,PG Electroplast Limited,EQ,26-Sep-11,1,1,1,PG Electroplast Limited,PGEL.NS,BOTH
133573,ALEMBIC PHARMACEUTICALS LIMITED,APLLTD#,ALEMBIC PHARMACEUTICALS LIMITED,Active,A ,2,INE901L01018,Equity,APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-11,2,1,2,Alembic Pharmaceuticals Limited,APLLTD.NS,BOTH
